Name of Building,Address,Year of Completion,Property_Type,Location
Gold Swan Commercial Building,438/444 Hennessy Road,1984,0.0,Hong Kong Island
Gold Union Commercial Building,Ground Floor:70 & 72 Connaught Road W.Upper Floors:71 Connaught Road W.,1977,0.0,Kowloon
Golden Block,12 Cassia Road,1989,0.0,Kowloon
Golden Building,8/10 Mercer Street,1979,0.0,Kowloon
Golden Building,Lower Ground Floor-1st Floor:146/152 Fuk Wa StreetUpper Floors:146-152 Fuk Wa Street133 Fuk Wing Street,1980,0.0,Kowloon
Golden Castle Mansion,5/13 Fortress Hill Road,1972,0.0,Hong Kong Island
Golden Cell Court,252/256 Castle Peak Road,1992,0.0,Hong Kong Island
Golden Centre,188 Des Voeux Road C.,1991,0.0,Kowloon
Golden Centre,"Basement, Ground Floor& 1st Floor:94 Yen Chow Street",1993,0.0,Kowloon
Golden Cloud Court,Ground Floor:1-4A Ferry StreetUpper Floors:1/4 Ferry Street,1979,0.0,Kowloon
Golden Computer Centre,146/152 Fuk Wa Street ,1980,0.0,Kowloon
Golden Computer Plaza,131 Fuk Wing Street ,1980,0.0,Kowloon
Golden Court,10 Second Street,1980,0.0,Hong Kong Island
Golden Court,17 & 19 Robinson Road,1973,0.0,Hong Kong Island
Golden Court,2nd Floor - 13th Floor:145 Fuk Wing Street,1993,0.0,Kowloon
Golden Court,58 Wuhu Street,1992,0.0,Kowloon
Golden Court,"Ground Floor:22/52 Electric Road,1A/1C Lau Sin Street &2/8 Yacht StreetUpper Floors:36 Electric Road",1958,0.0,Hong Kong Island
Golden Crown Court,"Ground Floor:66, 68 & 70 Nathan RoadUpper Floors:68 Nathan Road",1964,0.0,Kowloon
Golden Dragon Building,41/51 Tang Lung Street,1979,0.0,Kowloon
Golden Dragon Centre,38/40 Cameron Road,1992,0.0,Kowloon
Golden Dragon Commercial Building,522 Nathan Road,1983,0.0,Kowloon
Golden Dragon Garden,77 Kung Lok Road,1976,0.0,Kowloon
Golden Era Plaza,39 Sai Yee Street,1999,0.0,Kowloon
Golden Fair Mansion,4D/4E Shiu Fai Terrace,1965,0.0,Kowloon
Golden Gate Commercial Building,136/138 Austin Road,1981,0.0,Kowloon
Golden Gateway Multiplex,"25 Canton Road,The Gateway",1994,0.0,Kowloon
Golden Glory Mansion,16 Carnarvon Road,1966,0.0,Kowloon
Golden Hill Commercial Building,39/41 Argyle Street,1975,0.0,Kowloon
Golden Hill Commercial Mansion,209/211 Hennessy Road,1975,0.0,Hong Kong Island
Golden Horse Mansion,21/39 Mansion Street,1960,0.0,Kowloon
Golden House,1 & 1A Austin Avenue,1976,0.0,Kowloon
Golden House,28/30 Pottinger Street,1967,0.0,Hong Kong Island
Golden Jade Heights,482/492 Un Chau Street,1985,0.0,Kowloon
Golden Jubilee House,389/399 Lockhart Road,1964,0.0,Hong Kong Island
Golden League Building,"Ground Floor:76, 76A, 78, 80 &82A Castle Peak RoadLower Ground Floor &Upper Floors:76/82 Castle Peak Road",1982,0.0,Hong Kong Island
Golden Lodge,9 Bonham Road,1996,0.0,Hong Kong Island
Golden Mansion,646-650 Shanghai Street &29B & 29C Mong Kok Road,1965,0.0,Kowloon
Golden Mansion,83/85A Chatham Road S.,1962,0.0,Kowloon
Golden Mansion,Ground Floor:42-52 Shau Kei Wan MainStreet E. & 8-12 To Wan LaneUpper Floors:42/52 Shau Kei WanMain Street E.,1977,0.0,Kowloon
Golden Mansion,"Ground Floor:121, 123, 125, 129 &131 Shau Kei Wan RoadUpper Floors:127 Shau Kei Wan Road",1979,0.0,Hong Kong Island
Golden Mansion,Ground Floor:44-56B Bulkeley Street &15-15J Lo Lung Hang StreetUpper Floors:44/56 Bulkeley Street,1982,0.0,Kowloon
Golden May Mansion,7/9 Sau Chuk Yuen Road,1965,0.0,Kowloon
Golden Name Commercial Building,400 Portland Street,1990,0.0,Kowloon
Golden Pavilion,66 Caine Road,1993,0.0,Hong Kong Island
Golden Peak,12 Mount Cameron Road,Pre 1945?,0.0,Kowloon
Golden Phoenix Building,39 Sheung Fung Street &1/15 Tsui Fung Street,1965,0.0,Kowloon
Golden Phoenix Court,1-2 Street Stephen's Lane,1981,0.0,Kowloon
Golden Plaza,745-747 Nathan Road,1980,0.0,Kowloon
Golden Star Building,Ground Floor:20 & 24 Lockhart RoadUpper Floors:22 Lockhart Road,1978,0.0,Hong Kong Island
Golden Sun Centre,59/67 Bonham Strand West& 223 Wing Lok Street,1994,0.0,Hong Kong Island
Golden Valley Mansion,135/137A Caine Road,1973,0.0,Hong Kong Island
Golden Villa,18 & 20 Fa Po Street,1965,0.0,Kowloon
Goldfield Building,"Ground Floor:200/202 Wing Lok Street &42, 44 Connaught Road W.Upper Floors:43 Connaught Road W.",1972,0.0,Kowloon
Goldfield Mansion,85/87 Hau Wong Road,1983,0.0,Kowloon
Goldfield Mansion,62/68 Java Road,1977,0.0,Hong Kong Island
Goldfield Tower,53/59 Wuhu Street,1991,0.0,Kowloon
Goldin Financial Global Centre,17 Kai Cheung Road,2016,0.0,Kowloon
Goldmark,502 Hennessy Road,1987,0.0,Hong Kong Island
Goldmine Building,345 Chai Wan Road,1978,0.0,Hong Kong Island
Goldsland Building ,22/26 Minden Avenue,1989,0.0,Kowloon
Goldson Place,11 Shouson Hill Road W.,1983,0.0,Hong Kong Island
Goldtone Court,422 Ma Tau Wai Road,1992,0.0,Kowloon
Goldtop Garden,159-161 Camp Street,1992,0.0,Kowloon
Goldview Court,20C South Wall Road,1993,0.0,Kowloon
Goldwin Heights,2 Seymour Road,1994,0.0,Hong Kong Island
Gomme House,163 Po Kong Village Road,1981,0.0,Kowloon
Good Cheer Villa,16 Stanley Mound Road,1983,0.0,Kowloon
Good Counsel Catholic,9 Kwong Lee Road,1960,0.0,Kowloon
Good Dragon Building,184/190 Ki Lung Street,1967,0.0,Kowloon
Good Harvest Commercial Building,515/517 Nathan Road,1982,0.0,Kowloon
Good Hope Building,"Basement:612/618 Nathan RoadGround Floor:612-618 Nathan Road, 7,13-19 Sai Yeung Choi Street S.,40G-40H Shantung StreetUpper Floors:612/618 Nathan Road &5 Sai Yeung Choi Street S.",1971,0.0,Kowloon
Good Hope Primary School Cum,381 Jat's Incline,,1.0,Kowloon
Good Hope Primary School Cum,383 Jat's Incline,,1.0,Kowloon
Good Hope School,303 Clear Water Bay Road,,1.0,Kowloon
Good Hope School (Convent),381 Jat's Incline,,1.0,Kowloon
Good Luck Building,6 Lung Kong Road,1988,0.0,Kowloon
Good Luck House,78/84 Portland Street,1967,0.0,Kowloon
Good Luck Industrial Building,105 How Ming Street,1981,0.0,Kowloon
Good Luck Mansion,Ground Floor:41 Po Tuck StreetUpper Floors:101 Hill Road,1984,0.0,Hong Kong Island
Good Results Building,176 Nathan Road,1971,0.0,Kowloon
Good Rich Mansion,7/8 Wa Fung Street,1966,0.0,Kowloon
Good Times Building,230-236 Queen's Road W.,1976,0.0,Kowloon
Good View Court,20 Yuet Wah Street,1966,0.0,Kowloon
Good View Court,21 Robinson Road,1984,0.0,Hong Kong Island
Good View Court,51-53 Bonham Road,1986,0.0,Hong Kong Island
Good World Building,197/199 Tong Mi Road,1975,0.0,Kowloon
Good Year Court,55-61 Shun Ning Road,1991,0.0,Kowloon
Good Year Industrial Building,119/121 How Ming Street,1978,0.0,Kowloon
Goodfit Commercial Building,Ground Floor:7 Fleming Road &133 Thomson RoadUpper Floors:7 Fleming Road,1983,0.0,Hong Kong Island
Goodluck Industrial Centre,808 Lai Chi Kok Road,1985,0.0,Kowloon
Goodrich Hotel,92/94 Woosung Street,1984,1.0,Kowloon
Goodview Centre,12 Wu Pak Street,1996,0.0,Kowloon
Goodview Court,1 Tai Ping Shan Street,1997,0.0,Kowloon
Goodview Garden,24 Stubbs Road,1982,0.0,Hong Kong Island
Goodwill Garden,83 Third Street,1995,0.0,Kowloon
Goodwood,52 Chung Hom Kok Road,1970,0.0,Kowloon
Gordon House,"Ground Floor:16/28 Gordon Road82, 86 Hing Fat Street &1/1B Wing Hing StreetUpper Floors:84 Hing Fat Street",1958,0.0,Hong Kong Island
Gordon Terrace,4/8A Carmel Road,1964,0.0,Kowloon
Gough Plaza,33 Gough Street,1991,0.0,Kowloon
Government House,Upper Albert Road,,0.0,Kowloon
Government Logistics Centre,11 Chong Fu Road,,0.0,Kowloon
Grace Hong Kong,7 Tong Yam Street,1966,0.0,Kowloon
Grace Lutheran Church,4 Broadcast Drive,1974,1.0,Kowloon
Grace Mansion,2 King Tak Street,1964,0.0,Kowloon
Grace Mansion,374/376 Des Voeux Road W.,1985,0.0,Kowloon
Grace Mansion,59A Nga Tsin Wai Road,1963,0.0,Kowloon
Graceful Court,"Ground Floor:27, 29, 31, 35 &37 Hill RoadUpper Floors:33 Hill Road",1989,0.0,Hong Kong Island
Graces Court,298 Un Chau Street,1998,0.0,Kowloon
Gracious Court,17 Grampian Road,1983,0.0,Kowloon
Gracious Mansion,24/26 Pei Ho Street,1993,0.0,Kowloon
Gramercy,38 Caine Road,2012,0.0,Hong Kong Island
Grammy Centre,238 Yee Kuk Street,1987,0.0,Kowloon
Grampian Court,6/6A Grampian Road,1956,0.0,Kowloon
Grampian Crest,27 Grampian Road,1973,0.0,Kowloon
Granada Building,35 & 37 Kowloon City Road,1982,0.0,Kowloon
Grancastle Commercial Centre,2T Sai Yeung Choi Street S.,1992,0.0,Kowloon
Grand Austin ,9 Austin Road W.,2014,0.0,Kowloon
Grand Blossom House,123 Bulkeley Street,2001,0.0,Kowloon
Grand Bowen,11B Bowen Road,1992,0.0,Hong Kong Island
Grand Building,15/18 Connaught Road C.,1959,0.0,Kowloon
Grand Building,Ground Floor:50/52A Granville Road &18/22 Granville CircuitUpper Floors:50/52 Granville Road &20/22 Granville Circuit,1963,0.0,Kowloon
Grand Business Plaza,153 Wai Yip Street,1997,0.0,Kowloon
Grand Centre,8 Humphreys Avenue,1994,0.0,Kowloon
Grand Century Place,193 Prince Edward Road W.,1997,0.0,Kowloon
Grand City Court,37 Grampian Road,1991,0.0,Kowloon
Grand City Hotel,338 Queen's Road W.,2015,1.0,Kowloon
Grand Court,12 Ho Man Tin Hill Road,1981,0.0,Hong Kong Island
Grand Court,16 Shan Kwong Road,1981,0.0,Kowloon
Grand Court,41/43A Grampian Road,1965,0.0,Kowloon
Grand Court,6 Babington Path,1984,0.0,Hong Kong Island
Grand Deco Tower,26 Tai Hang Road,1999,0.0,Hong Kong Island
Grand Excelsior,83 Waterloo Road,2002,0.0,Kowloon
Grand Fortune Mansion,1 Davis Street,1991,0.0,Hong Kong Island
Grand Garden,61 South Bay Road,1986,0.0,Kowloon
Grand Garden,8 Sai Wan Ho Street,2007,0.0,Kowloon
Grand Hacienda,88/94 Tin Hau Temple Road,1970,0.0,Kowloon
Grand House,110/112 MacDonnell Road,1957,0.0,Hong Kong Island
Grand House,61/63 Parkes Street,1967,0.0,Kowloon
Grand Mansion,8/10 Playing Field Road,1962,0.0,Kowloon
Grand Marine Center,3 Yue Fung Street,1986,0.0,Kowloon
      Cosco Tower (High Block),183 Queen's Road C. &33 Wing Lok Street,1997,0.0,Kowloon
      Lower Block,181 Queen's Road C.,1998,0.0,Kowloon
Grand Peace Funeral Parlour,6 Cheong Hang Road,,0.0,Kowloon
Grand Place,560 Nathan Road,2016,0.0,Kowloon
Grand Progress Building,"Lower Ground Floor:16 Lan Kwai FongGround Floor:58, 60 & 62 D'Aguilar StreetUpper Floors:15 Lan Kwai Fong",1977,0.0,Hong Kong Island
Grand Promenade,38 Tai Hong Street,2005,0.0,Kowloon
Grand Right Centre,10 Cameron Road,1992,0.0,Kowloon
Grand Scholar,419K Queens Road W.,2006,0.0,Kowloon
Grand Seaview Heights,1 Ngan Mok Street,2002,0.0,Kowloon
Grand Terrace,80 Robinson Road,2001,0.0,Hong Kong Island
Grand View Court,103/105 Kau Pui Lung Road,1964,0.0,Kowloon
Grand View Court,320 Prince Edward Road W.,1973,0.0,Kowloon
Grand View Hotel,88 Chun Yeung Street,1999,1.0,Kowloon
Grand View House,"Ground Floor:1, 1A, 1B Moreton Terrace& 41, 43, 45, 47, 49 &53 Tung Lo Wan RoadUpper Floors:51 Tung Lo Wan Road",1976,0.0,Kowloon
Grand View Mansion,383/385A Queen's Road E.,1966,0.0,Kowloon
Grand View Terrace,59 Nga Tsin Wai Road,1989,0.0,Kowloon
Grand Villa,31 Tin Hau Temple Road,2003,0.0,Kowloon
Grand Villa,401 Chatham Road N.,2000,0.0,Kowloon
Grand Waterfront,38 San Ma Tau Street,2006,0.0,Kowloon
Grandco Mansion,287 Prince Edward Road W.,1995,0.0,Kowloon
Grandeur Villa,21 Tat Chee Avenue,1991,0.0,Kowloon
Grandmark,10 Granville Road,1973,0.0,Kowloon
Grandview Building,Ground Floor:49/69 Fa Yuen Street &8/8A Nelson StreetUpper Floors:59 Fa Yuen Street,1978,0.0,Kowloon
Grandview Commercial Centre,73 Bonham Strand West,1992,0.0,Hong Kong Island
Grandview Court,889 King's Road,1987,0.0,Hong Kong Island
Grandview Garden,18 Bridges Street,1994,0.0,Hong Kong Island
Grandview Garden,8 Nam Long Shan Road,1985,0.0,Kowloon
Grandview Garden,Ground Floor:18 San Shan Road71 Pau Chung StreetUpper Floors:71 Pau Chung Street,1993,0.0,Kowloon
Grandview Mansion,119A/119C Chatham Road S.,1956,0.0,Kowloon
Grandview Mansion,21-29 Apliu Street,1987,0.0,Kowloon
Grandview Mansions,1 Wang Fung Terrace,1955,0.0,Kowloon
Grandview Tower,128-130 Kennedy Road,1978,0.0,Hong Kong Island
Grandview Villa,12 Wang Fung Terrace,1965,0.0,Kowloon
Grandwin Court,769 Nathan Road,1986,0.0,Kowloon
Grant Villas,1/11A Braga Circuit &32/36A Kadoorie Avenue,1961,0.0,Kowloon
Grantham Hospital,125 Wong Chuk Hang Road,1957,0.0,Kowloon
Granville Building,12 Granville Road,1965,0.0,Kowloon
Granville House,41C & 41D Granville Road,1976,0.0,Kowloon
Great Eagle Centre,23 Harbour Road,1982,0.0,Hong Kong Island
Great Eastern Mansion,255/261 Reclamation Street,1966,0.0,Kowloon
Great George Building,Ground Floor & 1st Floor:19 Great George Street &27-47 Paterson StreetUpper Floors:11 Great George Street &27 Paterson Street,1959,0.0,Hong Kong Island
Great Smart Tower,230 Wan Chai Road,1984,0.0,Kowloon
Great Wall Building,16-26 Tam Kung Road &2-4 San Shan Road,1977,0.0,Kowloon
Great Wall Factory Building,11 Cheung Shun Street,1977,0.0,Kowloon
Greatmany Centre,"Ground Floor:109, 113 & 115 & Queen'sRoad E. & 31 Ship StreetUpper Floors:111 Queen's Road E.",1985,0.0,Hong Kong Island
Green Court,498 Un Chau Street,1989,0.0,Kowloon
Green Field Court,19 & 21 Seymour Road,1977,0.0,Hong Kong Island
Green Lane Hall,32 Green Lane,,0.0,Kowloon
Green Valley Mansion,51 Wong Nai Chung Road,1964,0.0,Kowloon
Green View Court,2/4 Observatory Court,1985,0.0,Kowloon
Green View House,31 Poplar Street,1965,0.0,Kowloon
Green View Mansion,55/57 Wong Nai Chung Road,1967,0.0,Kowloon
Green Villa,155 Blue Pool Road,1967,0.0,Hong Kong Island
Green Villa,90 Pok Fu Lam Road,1983,0.0,Hong Kong Island
Green Village,8A/8D Wang Fung Terrace,1965,0.0,Kowloon
Greencliff,23 Tung Shan Terrace,1989,0.0,Kowloon
Greenery Court,250 Fa Yuen Street,1997,0.0,Kowloon
Greenery Garden,2A Mount Davis Road,1988,0.0,Hong Kong Island
Greenfield Garden,2/20 Palm Street,1993,0.0,Kowloon
Greenfield Mansion,8 Kingston Street,1964,0.0,Kowloon
Greenfield Terrace,26 Ho Man Tin Hill Road,1978,0.0,Hong Kong Island
Greenland Building,303 Queen's Road C.,1985,0.0,Kowloon
Greenland Court,56 & 58 MacDonnell Road,1976,0.0,Hong Kong Island
Greenland Court,88 Ma Tau Wai Road,1995,0.0,Kowloon
Greenland Garden,67/69 Lyttelton Road,1971,0.0,Kowloon
Greenland House,22 Sau Wa Fong,1996,0.0,Kowloon
Greenrich Mansion,100 Castle Peak Road,2001,0.0,Hong Kong Island
Greenside Villa,77 Blue Pool Road,1973,0.0,Hong Kong Island
      Block 1,15 Mount Davis Road,,0.0,Hong Kong Island
      Block 2,17 Mount Davis Road,,0.0,Hong Kong Island
      Block 3,19 Mount Davis Road,,0.0,Hong Kong Island
      Block 4,21 Mount Davis Road,,0.0,Hong Kong Island
      Block 5,23 Mount Davis Road,,0.0,Hong Kong Island
Greenview Court,7/8 Ching Lin Terrace,1988,0.0,Kowloon
Greenview Court,"Ground Floor:14, 18, 20 Woo Hop Street& 16 South LaneUpper Floors:16 Woo Hop Street",1979,0.0,Kowloon
Greenview Court,"Ground Floor:227, 231 Fa Yuen StreetUpper Floors:229 Fa Yuen Street",1989,0.0,Kowloon
Greenview Gardens,125 Robinson Road,1974,0.0,Hong Kong Island
Greenville,10 Wong Ma Kok Road,1995,0.0,Kowloon
Greenville,2 Glenealy,1988,0.0,Hong Kong Island
      Block A,14 Shiu Fai Terrace,1974,0.0,Kowloon
      Block B,15 Shiu Fai Terrace,1975,0.0,Kowloon
      Block C,16 Shiu Fai Terrace,1980,0.0,Kowloon
      Block D,17 Shiu Fai Terrace,1980,0.0,Kowloon
      Block 1,7 Link Road,1992,0.0,Kowloon
      Block 2,5 Link Road,1993,0.0,Kowloon
Greenwich Centre,260 King's Road,1982,0.0,Hong Kong Island
Grenbelle Gardens,25 Shouson Hill Road,1976,0.0,Hong Kong Island
Grenville House,3 Magazine Gap Road,1971,0.0,Kowloon
Grosse Pointe Villa,4 Stanley Village Road,1978,0.0,Kowloon
Grosvenor House,"110, 110A, 112 &112A Austin Road",1966,0.0,Kowloon
Grosvenor House,114/120 MacDonnell Road,1958,0.0,Hong Kong Island
Grosvenor Place,117 Repulse Bay Road,2003,0.0,Hong Kong Island
Guang Dong Tours Building,9-15 Yee Wo Street,1968,0.0,Kowloon
Guangdong Finance Building,88 Connaught Road W.,1998,0.0,Kowloon
Guangdong Hotel,18 Prat Avenue,1986,1.0,Kowloon
Guangdong Investment Tower,148 Connaught Road C.,1996,0.0,Kowloon
Guangdong Tours Centre,18 Pennington Street,1994,0.0,Kowloon
Guardforce Centre,3 Hok Yuen Street E.,1985,0.0,Kowloon
Guardian House,32 Oi Kwan Road,1975,0.0,Hong Kong Island
Guilar House,24 D'Aguilar Street,1992,0.0,Hong Kong Island
Guildford Garden,1/3 Mansfield Road,1971,0.0,Kowloon
Gulestan,125 Repulse Bay Road,1965,0.0,Hong Kong Island
H & S Building,36 Leighton Road,1965,0.0,Hong Kong Island
H.I.C.B. Building,78-82 Tam Kung Road,1981,0.0,Kowloon
H.K. S.K.H. Street Luke's Settlement,47 Victoria Road,,0.0,Kowloon
H.K.C.C.S. Recreation Club,8 Wylie Road,1952,0.0,Kowloon
H.K.S.P.C. (Hong Kong Society,458 Shau Kei Wan Road,1957,0.0,Hong Kong Island
H.S. Chan Building,4 Hung To Road,1964,0.0,Kowloon
H1 Hotel,423 Reclamation Street,2011,1.0,Kowloon
H8,8 Hau Fook Street,2011,0.0,Kowloon
Ha Lung Building,25/29 Ko Shing Street,1973,0.0,Hong Kong Island
Ha Lung Industrial Building,52 Wong Chuk Hang Road,1971,0.0,Kowloon
Haddon Court,41C Conduit Road,1995,0.0,Hong Kong Island
Hai Kwang House,357-359 Prince EdwardRoad W.,1982,0.0,Kowloon
Hai Kwang Mansion,71-77 Hill Road,1983,0.0,Hong Kong Island
Hai On Court,166 Hai Tan Street,1991,0.0,Kowloon
Hai Phong Mansion,"Ground Floor:99, 101 Nathan Road,53/55 Haiphong Road &52 Lock RoadUpper Floors:101 Nathan Road",1960,0.0,Kowloon
Hai Tan Mansion,145/149 Hai Tan Street,1982,0.0,Kowloon
Hai Tin Mansion,224/226 Hai Tan Street,1991,0.0,Kowloon
Hai Xin Building,17 Hart Avenue,1989,0.0,Kowloon
Haiphong Rd Temporary Market &,28 Haiphong Road,,0.0,Kowloon
Haking (Tung Shing) Industrial,34 Lee Chung Street,1977,0.0,Kowloon
Haking Mansions,43 Barker Road,2001,0.0,Hong Kong Island
Haleson Building,1 Jubilee Street,1983,0.0,Hong Kong Island
Hamburg Villa,8/10 Eastbourne Road,1970,0.0,Kowloon
Hamden Court,149-151 Hong Ning Road,1985,0.0,Kowloon
Hamford Court,335 Prince Edward Road W.,1982,0.0,Kowloon
Hamilton Building,1/5A Hamilton Street,1969,0.0,Kowloon
Hamilton Court,8 Po Shan Road,1974,0.0,Kowloon
Hamilton Mansion,1 & 3 Cleveland Street,1962,0.0,Hong Kong Island
Hammer Hill Road Swimming Pool,30 Lung Cheung Road,,0.0,Kowloon
Hampton Place,11 Hoi Fan Road,2003,0.0,Kowloon
Han Cheong Building,20-26 Shanghai Street,1979,0.0,Kowloon
Han Hing Building,1 & 3 Fuk Wa Street,1979,0.0,Kowloon
Han Hing Mansion,38/40 Hankow Road,1964,0.0,Kowloon
Han Palace Building,441/447 King's Road,1968,0.0,Hong Kong Island
Hanaevilla,28/30 Stubbs Road,1959,0.0,Hong Kong Island
Hanchung Mansion,8 & 10 Hankow Road,1962,0.0,Kowloon
Hand Cheong Court,22/28 Sai Wan Ho Street,1993,0.0,Kowloon
Hand Fair Court,255 Castle Peak Road,1993,0.0,Hong Kong Island
Hand Wai Court,21/23 Un Chau Street,1994,0.0,Kowloon
Hanfast Building,147-151 Pei Ho Street,1984,0.0,Kowloon
Hanford Commercial Centre,221C/221D Nathan Road,1983,0.0,Kowloon
Hang Bong Commercial Centre,28 Shanghai Street,1994,0.0,Kowloon
Hang Cheong Building,Ground Floor:230 & 234 Tai Nan StreetUpper Floors:232 Tai Nan Street,1983,0.0,Kowloon
Hang Cheong Centre,138 Bedford Road,1993,0.0,Kowloon
Hang Cheong Factory Building,1 Wing Ming Street,1970,0.0,Kowloon
Hang Cheong Tai Building,21/23 Ko Shing Street,1985,0.0,Hong Kong Island
Hang Fai Building,27 North Street &67-83 Belcher's Street,1972,0.0,Hong Kong Island
Hang Fai Building,Ground Floor:22/32 Pok Fu Lam Road &127B Third StreetUpper Floors:22/32 Pok Fu Lam Road,1974,0.0,Hong Kong Island
Hang Fat Building,138/140 Wing Lok Street,1974,0.0,Kowloon
Hang Fat Industrial Building,550-556 Castle Peak Road,1981,0.0,Hong Kong Island
Hang Fat Trading House,Ground Floor:52 Bonham Strand W. &3 Heung Hing LaneUpper Floors:3 Heung Hing Lane,1982,0.0,Hong Kong Island
Hang Fook Building,170/174 Shanghai Street,1964,0.0,Kowloon
Hang Fook Building,17-23 Shanghai Street,1979,0.0,Kowloon
Hang Fook Mansion,1/5 Fuk Sau Lane &127A Third Street,1981,0.0,Kowloon
Hang Fung Building,17/19 Wong Nai Chung Road,1971,0.0,Kowloon
Hang Fung Industrial Building,2G Hok Yuen Street,1979,0.0,Kowloon
Hang Hing Court,"Ground Floor:2-6, 10-14 Fuk Sau Lane &123-125 Third StreetUpper Floors:8 Fuk Sau Lane",1984,0.0,Kowloon
Hang Lok Building,16/18 Tung Loi Lane &128/130 Wing Lok Street,1970,0.0,Kowloon
Hang Lung Bank Building,46/48 Granville Road,1978,0.0,Kowloon
Hang Lung Bank Eastern,391 King's Road,1977,0.0,Hong Kong Island
Hang Lung Bank Western,15 Hill Road &441 Queen's Road W.,1982,0.0,Hong Kong Island
Hang Lung Centre,2-20 Paterson Street,1975,0.0,Hong Kong Island
Hang Lung House,184/192 Queen's Road C.,1968,0.0,Kowloon
Hang Lung Mansion,Ground Floor:578/580 Nathan Road &46 Dundas StreetUpper Floors:578/580 Nathan Road &44/46 Dundas Street,1963,0.0,Kowloon
Hang Moon Building,38 & 40 Cheung Sha WanRoad,1976,0.0,Kowloon
Hang Ning Court,"Ground Floor:253/257, 259/263Shun Ning RoadUpper Floors:253/263 Shun Ning Road",1981,0.0,Kowloon
Hang On Building,13/17 Hang On Street,1966,0.0,Kowloon
Hang On Building,157/163A Sai Yeung ChoiStreet N.,1963,0.0,Kowloon
Hang On Building,226/232 Queen's Road E.,1992,0.0,Kowloon
Hang On Building,46A-46C Kweilin Street &88-90 Fuk Wing Street,1966,0.0,Kowloon
Hang On Building,"Ground Floor:43, 45, 47, 49, 51, 55, 57 &59 Po Kong Village RoadUpper Floors:53 Po Kong Village Road",1980,0.0,Kowloon
Hang On Mansion,19/23 Hang On Street,1964,0.0,Kowloon
Hang Po Building,6 & 8 Mercury Street,1980,0.0,Kowloon
Hang Pont Commercial Building,31 Tonkin Street,1982,0.0,Kowloon
Hang Seng 113,113 Argyle Street,1996,0.0,Kowloon
Hang Seng Bank Causeway Bay,28 Yee Wo Street,1998,0.0,Kowloon
Hang Seng Bank Headquarter's,83 Des Voeux Road C.,1991,0.0,Kowloon
Hang Seng Bank Kowloon City,360 Prince Edward Road W.,1967,0.0,Kowloon
Hang Seng Bank Tsimshatsui,18 Carnarvon Road,1973,0.0,Kowloon
Hang Seng Castle Peak,339 Castle Peak Road,1976,0.0,Hong Kong Island
Hang Seng Centre,95-97 Tung Chau Street,1993,0.0,Kowloon
Hang Seng Mongkok Building,677 Nathan Road,1995,0.0,Kowloon
Hang Seng North Point Building,335/341 King's Road,1983,0.0,Hong Kong Island
Hang Seng Wanchai Building,200 Hennessy Road,1975,0.0,Hong Kong Island
Hang Shan Court,9 Ko Shan Road,1981,0.0,Kowloon
Hang Shing Building,2/10 Tam Kung Road,1965,0.0,Kowloon
Hang Shing Building,22/24 Cheung Sha Wan Road& 25E/25F Poplar Street,1964,0.0,Kowloon
Hang Shing Building,363/373 Nathan Road,1975,0.0,Kowloon
Hang Shing Building,Ground Floor:119/125 Fuk Wing Street &42 Kweilin StreetUpper Floors:44 Kweilin Street,1973,0.0,Kowloon
Hang Shing Lau,Lower Ground Floor:44 & 44A Jervois StreetGround & Upper Floors:219 Queen's Road C.,1967,0.0,Kowloon
Hang Shun Building,12 Wyndham Street,1964,0.0,Kowloon
Hang Shun Building,27-41 Boundary Street,1964,0.0,Kowloon
Hang Shun Building,37-39 Tonkin Street,1980,0.0,Kowloon
Hang Shun Commercial Building,12 Cameron Road,1992,0.0,Kowloon
Hang Shun Mansions,68/82 Jaffe Road,1985,0.0,Kowloon
Hang Sing Mansion,48/78 High Street,1972,0.0,Hong Kong Island
Hang Tak Building,1 Electric Street,1966,0.0,Kowloon
Hang Tat Building,80/82 Nam Cheong Street &236 Tai Nan Street,1965,0.0,Kowloon
Hang Tat Mansion,161/165 Lockhart Road,1980,0.0,Hong Kong Island
Hang Tung Building,9th Floor - 15th Floor1116 Canton Road &26 Bute Street,1975,0.0,Kowloon
Hang Wai Commercial Building,231/233 Queen's Road E.,1991,0.0,Kowloon
Hang Wan Building,42-44 Granville Road,1974,0.0,Kowloon
Hang Wan House,141 Reclamation Street,1987,0.0,Kowloon
Hang Wong Building,19 & 21 Stone Nullah Lane,1980,0.0,Hong Kong Island
Hang Ying House,318/328 King's Road,1973,0.0,Hong Kong Island
Hang Ying House,326 Shanghai Street,1975,0.0,Kowloon
Hang Yu Building,45-55 Cadogan Street,1980,0.0,Hong Kong Island
Hang Yue Building,334/350 Des Voeux Road W.,1976,0.0,Kowloon
Hang Yue Court,8 Pitt Street,1994,0.0,Kowloon
Hanison Villa,1 Dianthus Road,1993,0.0,Kowloon
Hanking Court,43/49 Cloud View Road,1974,0.0,Kowloon
Hankow Apartments,43/49A Hankow Road,1959,0.0,Kowloon
