Name of Building,Address,Year of Completion,Property_Type,Location
Air Goal Cargo Building,330 Kwun Tong Road,1991,0.0,Kowloon
Aitken Vanson Centre,61 Hoi Yuen Road,1998,0.0,Kowloon
Ajisen Group Tower (Units B),24/26 Sze Shan Street,1978,0.0,Kowloon
Al-Aqmar House,30 Hollywood Road,1983,0.0,Hong Kong Island
Alassio,100 Caine Road,2016,0.0,Hong Kong Island
Albany Court,51 Bisney Road,1993,0.0,Hong Kong Island
Albert House,"Ground Floor:20/24, 28 Chengtu Road &12 Sai On StreetUpper Floors:26 Chengtu Road",1973,0.0,Kowloon
Albion Gardens,17-21 La Salle Road,1981,0.0,Kowloon
Albion Plaza,2-6 Granville Road,1983,0.0,Kowloon
Albron Court,99 Caine Road,1985,0.0,Hong Kong Island
Aldrich Bay Government,1 Oi Lai Street,,0.0,Hong Kong Island
Aldrich Bay Integrated ,15 Aldrich Bay Road  ,,0.0,Hong Kong Island
Aldrich House,Ground Floor:369/373 Shau Kei WanRoad & 1/3 Aldrich StreetUpper Floors:373 Shau Kei Wan Road,1966,0.0,Hong Kong Island
Alexandra House,18 Chater Road,1976,0.0,Hong Kong Island
Alexandra Industrial Building,Ground Floor:1064/1066 Tung ChauWest StreetUpper Floors:62 King Lam Street &27 Wing Hong Street,1971,0.0,Kowloon
Alford House,3 Upper Albert Road,1955,0.0,Kowloon
Alfred House,9 On Lan Street,1976,0.0,Hong Kong Island
Alhambra Building,Ground Floor:383/389C Nathan Road &15-17 Kansu StreetUpper Floors:385 Nathan Road,1960,0.0,Kowloon
Alice Court,10 Tsat Tsz Mui Road,1977,0.0,Kowloon
Alice Court,43 Broadcast Drive,1971,0.0,Kowloon
All Fit Garden,20/22 Bonham Road,1993,0.0,Hong Kong Island
All Saints' Church,2 Yim Po Fong Street,1950,1.0,Kowloon
Alliance Building,Ground Floor:130-132 & 134-136Connaught Road C.Upper Floors:133 Connaught Road C.,1975,0.0,Kowloon
Alliance Primary School,2 Lancashire Road,,1.0,Kowloon
Alliance Primary School,13 Tong Yam Street,,1.0,Kowloon
Alliance Primary School Whampoa,21 Tak Fung Street,,1.0,Kowloon
Allied Kajima Building,138 Gloucester Road,1990,0.0,Hong Kong Island
Allied Plaza,G/F  3/F760 Nathan Road,1973,0.0,Kowloon
Allways Centre,468 Jaffe Road,1995,0.0,Kowloon
Alpha Court,95/99 Tai Hang Road,1959,0.0,Hong Kong Island
Alpha House,27/33 Nathan Road,1964,0.0,Kowloon
Alpine Court,12 Kotewall Road,1971,0.0,Hong Kong Island
Altadena House,27 Barker Road,1974,0.0,Hong Kong Island
Altro,Ground Floor:118 Second StreetUpper Floors:116 Second Street,2014,0.0,Hong Kong Island
Amber Commercial Building,Ground Floor:70-72 Morrison Hill RoadUpper Floors:74 Morrison Hill Road,1980,0.0,Hong Kong Island
