Name of Building,Address,Year of Completion,Property_Type,Location
"      Belair Gardens Commercial Centre
      Phase II
      ?????????",,1988,,New Territories
"      Beverley Heights
      ???",,1982,,New Territories
"      Carmel Heights
      ???",,1982,,New Territories
"      Dominion Heights
      ???",,1982,,New Territories
"      Estoril Heights
      ???",,1982,,New Territories
"      Fontana Heights
      ???",,1982,,New Territories
"      Grenville Heights
      ???",,1982,,New Territories
"      Hoover Heights
      ???",,1982,,New Territories
"      Imperial Heights
      ???",,1987,,New Territories
"      Jade Heights
      ???",,1987,,New Territories
"      Kingston Heights
      ???",,1985,,New Territories
"      Lincoln Heights
      ???",,1985,,New Territories
"      Manhattan Heights
      ???",,1987,,New Territories
"      Nelly Heights
      ???",,1987,,New Territories
"Belair Monte
      *???","3 Ma Sik Rd.,
Fanling",1998,,New Territories
"Belair Villa
      *???","9 Yu Tai Rd.,
Fanling",1997,,New Territories
"Bella Vista
      *????","15 Silver Terrace Rd.,
Silverstrand, Sai Kung",1981,,New Territories
"Bellagio
      ????","33 Castle Peak Rd.
Sham Tseng, Sham Tseng",2002,,New Territories
"Bellevue Court
      ???","63 Hung Shui Kiu Main St.,
Yuen Long",1998,,New Territories
"Bellevue Garden
      ????","26 Cheung Chau Peak Rd.,
Cheung Chau",1980,,New Territories
"Belrose Place
      ???",Tuen Mun,-,,New Territories
"      Block A
      (A?)",241 Nai Wai,,,New Territories
"      Block B
      (B?)",242 Nai Wai,,,New Territories
"      Block C
      (C?)",242A Nai Wai,,,New Territories
"      Block D
      (D?)",242B Nai Wai,,,New Territories
"      Block E
      (E?)",242C Nai Wai,,,New Territories
"      Block F
      (F?)",242D Nai Wai,,,New Territories
"Belvedere Garden Phase I
      *???? ???","530/590 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",1987,,New Territories
"      Blocks 1 - 3
      ?1 - 3?",,,,New Territories
"Belvedere Garden Phase II
      *???????","620 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",1989,,New Territories
"      Blocks 1 - 9
      ?1 - 9?",,,,New Territories
"Belvedere Garden Phase III
      *???????","625 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",,,New Territories
"      Blocks 1 - 3
      ?1 - 3?",,1991,,New Territories
"      Blocks 4 - 7
      ?4 - 7?",,1990,,New Territories
"Belvedere Garden Shopping Centre
      ????","620 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",1989,,New Territories
"Belvedere Square
      ????","625 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",1991,,New Territories
"Beneville
      *????","18 Tuen Kwai Rd.,
Tuen Mun",2004,,New Territories
"Berkeley Bay Villa
      *?????","DD 214 Lot 836,
Off Hiram's Highway,
Ho Chung, Sai Kung",1978,,New Territories
Bethany Lodge,"12 Fa Peng Rd.,
Cheung Chau",2007,,New Territories
"Bethel High School
      ?????","11 Fairview Park Section F,
4th St.,
Yuen Long",-,,New Territories
"Beverly Garden
      *????","1 Tong Ming St.,
Tseung Kwan O 
(See Appendix IV)",1998,,New Territories
"      Blocks 1-10
      ?1?10?",(See Appendix IV),,,New Territories
"BF Pharmaceutical Centre
      ??????","8 Wang Fu St.,
Yuen Long",2000,,New Territories
