Name of Building,Address,Year of Completion,Property_Type,Location
"Ap Lei Chau Sub-Divisional
      Fire Station
      ????????",300 Ap Lei Chau Bridge Rd.,-,,
"Ap Lei Chau West Industrial Area
      Cooked Food Market
      ????????????",4 Lee Lok St.,-,,
"Ap Lei Chau West Sewage
      Pumping Station
      ????????",3 Lee Wing St.,-,,
"Apec Plaza
      ????",49 Hoi Yuen Rd.,1995,,
"Aplichau Kaifong Primary School
      ???????","9 Lei Tung Estate Rd.
Lei Tung Estate",-,,
"apm Millennium City 5
      apm????5","418 Kwun Tong Rd.
(LG/F - 11/F)",2004,,
"      BEA Tower Millennium City 5
      ??????????5",(12/F – 42/F),,,
"Apollo Building
      *????",170 Castle Peak Rd.,1979,,
*Aqua 33,33 Consort Rise,1993,,
"AquaMarine
      ????",8 Sham Shing Rd.,2003,,
"Arbuthnot House
      *?????",10-12 Arbuthnot Rd.,1979,,
"Arcadia Gardens
      *??",10 Ede Rd.,1965,,
"Arch Court
      ???",59 Sheung Shing St.,1979,,
"Arden Court
      *??",96/102 Tin Hau Temple Rd.,1974,,
Ardshiel,45 Plantation Rd.,1981,,
"Arezzo
      ??",33 Seymour Rd.,2015,,
"Argenta
      ??",63 Seymour Rd.,2013,,
"Argyle Centre Phase 1
      *???????","65 Argyle St. &
688 Nathan Rd.",1982,,
"Argyle House
      *???","43/49 Argyle St. &
274 Portland St.",1964,,
"Argyle Mansion
      ??",153 Argyle St.,1965,,
"ARIA
      ??",51 Fung Shing St.,2010,,
"Arion Commercial Centre
      *??????","Ground Floor:
2-12 Queen's Rd. W.
Upper Floors:
8 Queen's Rd. W.",1981,,
"Armagna Court
      ???",5 Magnolia Rd.,1982,,
"Aroma Court
      *???",17 Tin Hau Temple Rd.,1967,,
"Aroma House
      ????",98 Blue Pool Rd.,1964,,
"Arran Court
      *??",2 Shek Ku St.,1979,,
"Arran Tower
      ????",7 Arran St.,1963,,
"Arsenal House
      ????",1 Arsenal St.,1997,,
"Art Court
      *???",195A Castle Peak Rd.,2000,,
"Arthur Commercial Building
      *??????","Ground Floor:
26 Temple St. &
33 Arthur St.
Upper Floors:
33 Arthur St.",1992,,
"Artland Court
      *???",392 Chai Wan Rd.,1978,,
"Arts Building
      *????",36/40 Robinson Rd.,1977,,
"Arts Court
      *???",22/24 Sycamore St.,1962,,
"Arts Mansion
      *????",43 Wong Nai Chung Rd.,1979,,
"Arts Mansion
      *????","46-58 Arthur St. &
4-6 Man Ming Lane",1986,,
"Artview Court
      *???",4 Hong Ping St.,1978,,
"Ascot Mansion
      *????",421/425 Lockhart Rd.,1985,,
"Ascot Tower
      *???",45/47 Village Rd.,1984,,
"Ascot Villas
      *???",11 King Kwong St.,1985,,
"Ashfield House
      *????",4/8 Yuen Ngai St.,1972,,
"Ashfield House (Stage II)
      *???? (???)",5 Yuen Ngai St.,1974,,
Ashley 18,18 Ashley Rd.,1998,,
Ashley 27,27 Ashley Rd.,1965,,
"Ashley Centre
      ?????",25 Ashley Rd.,1988,,
"Ashley Mansion
      *????","Ground Floor:
10/14 Ashley Rd. &
3/5, 9 Ichang St.
Upper Floors:
7 Ichang St.",1971,,
"Ashley Nine
      ????",9/11 Ashley Rd.,1998,,
"Asia Harvest Commercial Centre
      *??????",324 Shau Kei Wan Rd.,1995,,
"Asia Mansion
      *????","326/328 Sai Yeung
Choi St. N. & 40/42
Boundary St.",1966,,
"Asia Mansions
      *????",390/394 King's Rd.,1966,,
"Asia One Tower
      ????",8 Fung Yip St.,1982,,
"Asia Pacific Centre
      ???????",8 Wyndham St.,1997,,
"Asia Standard Tower
      ????","59/65 Queen's Rd. C. &
6/10 Li Yuen St. W.",1977,,
"Asia Women's League
      Chan Kwun Tung Care &
      Attention Home for the Elderly
      ??????????
      ?????????",3 Hereford Rd.,1987,,
"Asian Building
      *????","254-258 Cheung Sha
Wan Rd.",1983,,
"Asiarich Court
      *???",5 Staunton St.,1994,,
"Asjoe Mansion
      *???",2 Ho Man Tin Hill Rd.,1964,,
"Aspen Court
      *???",46 High St.,1990,,
"Assembly of God Morrison College
      ????????",91 Po Kong Village Rd.,,,
"Assun Pacific Centre
      *??????",41 Tsun Yip St.,1996,,
"Astoria Building
      *????","Ground Floor:
24/38 Ashley Rd.
Upper Floors:
34 Ashley Rd.",1974,,
"AT Tower
      ?????",180 Electric Rd.,1995,,
"Attilio Building
      ????",579 Nathan Rd.,2001,,
"Attitude on Granville
      *???????",20/22 Granville Rd.,1981,,
"Au's Building
      *????",15/19 Hollywood Rd.,1967,,
"Aubin House
      *??????",171 & 172 Gloucester Rd.,1979,,
Aura On Pennington,66 Jardine's Bazaar,2016,,
"Aurizon
      ???",60 & 62 Moorsom Rd.,-,,
"Austin Commercial Centre
      *???????",4 Austin Avenue,1993,,
"Austin Mansion
      *?????",15A Austin Avenue,1958,,
